DATE;AMZN;DIS;BA;HLT;CCL
8/31/2016;769,159973;89,765015;119,104057;47,613914;42,602417
9/1/2016;770,619995;89,574944;119,518097;47,414444;43,40456
9/2/2016;772,440002;89,72699;120,677406;47,354618;41,345745
9/6/2016;788,869995;89,137817;122,361122;47,135189;40,88229
9/7/2016;784,47998;89,052292;122,039116;47,175087;40,374264
9/8/2016;784,059998;89,413391;122,278328;46,696346;39,982113
9/9/2016;760,140015;87,826408;118,257591;45,339943;39,545391
9/12/2016;771,48999;88,985779;119,72052;45,978245;40,302967
9/13/2016;761,01001;88,092476;118,469208;45,738884;40,668377
9/14/2016;761,090027;87,674347;117,466316;46,137825;41,203144
9/15/2016;769,690002;87,90242;117,558319;46,07798;41,417046
9/16/2016;778,52002;87,959457;116,573845;45,938354;41,220963
9/19/2016;775,099976;88,02597;117,291512;45,918407;40,909019
9/20/2016;780,219971;88,330063;117,576736;46,496872;41,167488
9/21/2016;789,73999;87,797897;120,125343;46,496872;40,837719
9/22/2016;804,700012;88,767204;121,33065;47,015503;41,746811
9/23/2016;805,75;88,634148;121,247833;47,075348;42,121143
9/26/2016;799,159973;87,389275;120,134537;45,778782;41,417046
9/27/2016;816,109985;87,161194;120,824608;45,998192;43,092617
9/28/2016;828,719971;87,617332;121,661873;45,599258;43,475853
9/29/2016;829,049988;87,237228;120,557777;45,519466;43,012405
9/30/2016;837,309998;88,244537;121,211037;45,738884;43,511509
10/3/2016;836,73999;87,892921;121,799881;45,639149;43,787807
10/4/2016;834,030029;87,987953;121,680283;45,539413;43,841278
10/5/2016;844,359985;87,854912;123,897667;45,359894;43,466949
10/6/2016;841,659973;88,216026;123,676834;44,941002;43,520428
10/7/2016;839,429993;87,892921;123,15239;44,741524;42,557861
10/10/2016;841,710022;87,892921;124,983353;45,539413;42,34396
10/11/2016;831;87,294243;123,051201;44,980888;41,755722
10/12/2016;834,090027;86,866615;122,517548;45,379837;41,622032
10/13/2016;829,280029;86,591026;122,719978;45,319992;41,702248
10/14/2016;822,960022;86,76207;122,830399;45,659088;41,131844
10/17/2016;812,950012;86,315437;123,290436;45,379837;41,09618
10/18/2016;817,650024;86,638527;124,302536;45,938354;41,461613
10/19/2016;817,690002;87,360764;125,296181;46,07798;41,550724
10/20/2016;810,320007;87,455795;124,983353;45,87851;42,067669
10/21/2016;818,98999;88,406082;124,790154;45,69899;41,630947
10/24/2016;838,090027;88,729187;126,464684;45,758823;41,889404
10/25/2016;835,179993;88,140007;127,909233;45,339943;41,818104
10/26/2016;822,590027;88,843224;133,908112;44,522102;42,023102
10/27/2016;818,359985;89,346878;131,856323;44,382477;41,470509
10/28/2016;776,320007;89,185326;131,580322;44,382477;43,18174
10/31/2016;789,820007;88,082977;131,046677;45,080624;43,761066
11/1/2016;785,409973;87,797897;131,028275;44,761471;43,155006
11/2/2016;765,559998;87,341759;129,500946;44,482212;43,021317
11/3/2016;767,030029;88,729187;128,829269;44,442314;43,06588
11/4/2016;755,049988;87,854912;128,387665;45,060673;42,81633
11/7/2016;784,929993;89,736504;131,598709;45,69899;43,663033
11/8/2016;787,75;89,688988;131,839767;46,619366;44,402771
11/9/2016;771,880005;89,936058;134,51918;47,239628;43,992794
11/10/2016;742,380005;90,240166;136,929779;46,939507;44,491898
11/11/2016;739,01001;92,824959;137,69931;47,439716;44,402771
11/14/2016;719,070007;93,05304;139,06221;48,660217;45,258385
11/15/2016;743,23999;92,843964;137,319183;49,000359;45,427727
11/16/2016;746,48999;94,193405;135,770874;49,120407;45,400997
11/17/2016;756,400024;94,430969;134,74173;49,160427;45,900097
11/18/2016;760,159973;93,357132;135,687424;48,860306;45,900097
11/21/2016;780;92,777458;136,308609;49,280472;45,686199
11/22/2016;785,330017;92,853477;138,626465;49,720661;46,457958
11/23/2016;780,119995;93,376144;138,830444;50,080814;46,933571
11/25/2016;780,369995;93,90831;139,108566;50,641041;47,157925
11/28/2016;766,77002;94,05085;138,858246;49,640625;46,718204
11/29/2016;762,52002;94,716057;140,591995;49,640625;47,759174
11/30/2016;750,570007;94,193405;139,590714;50,160847;46,134895
12/1/2016;743,650024;94,022346;141,287384;50,440964;44,761887
12/2/2016;740,340027;93,604218;141,157562;50,540997;45,228531
12/5/2016;759,359985;94,991638;141,074112;52,201691;46,332325
12/6/2016;764,719971;95,656845;141,148285;52,641876;47,184841
12/7/2016;770,419983;96,920746;142,909851;54,102478;47,70533
12/8/2016;767,330017;98,998779;144,068787;52,501808;47,489956
12/9/2016;768,659973;100,416054;145,088654;53,06205;47,866859
12/12/2016;760,119995;99,649963;145,709824;52,001606;46,78101
12/13/2016;774,340027;99,44886;145,246277;52,781921;46,798962
12/14/2016;768,820007;99,640388;143,215775;53,382183;47,032284
12/15/2016;761;99,965973;142,566833;54,6427;47,525848
12/16/2016;757,77002;99,506332;143,243652;55,082901;46,215649
12/19/2016;766;100,83741;144,801239;55,423027;46,054127
12/20/2016;771,219971;100,990631;144,995926;55,503071;47,104076
12/21/2016;770,599976;101,086388;146,006485;55,483055;47,642513
12/22/2016;766,340027;100,952324;145,987976;54,922825;47,032284
12/23/2016;760,590027;100,693771;146,312485;54,762753;47,588665
12/27/2016;771,400024;100,712914;146,006485;54,882816;47,238682
12/28/2016;772,130005;99,879791;144,727097;54,122482;46,834854
12/29/2016;765,150024;100,128761;144,346939;54,522655;46,655384
12/30/2016;749,869995;99,803192;144,337631;54,422611;46,718204
1/3/2017;753,669983;101,584358;145,533676;54,802773;46,789986
1/4/2017;757,179993;102,886719;147,063477;56,553711;47,400204
1/5/2017;780,450012;102,829262;147,146927;55,890675;48,198895
1/6/2017;795,98999;104,361458;147,508514;56,036934;48,14505
1/9/2017;796,919983;103,767731;146,785309;55,539639;48,18095
1/10/2017;795,900024;103,78688;147,480667;54,623093;48,683483
1/11/2017;799,02002;104,801964;147,786606;54,603588;48,961678
1/12/2017;813,640015;102,9729;146,757492;54,018547;48,136078
1/13/2017;817,140015;103,480438;147,258148;54,818096;47,974545
1/17/2017;809,719971;103,394257;146,182678;54,691345;47,642513
1/18/2017;807,47998;103,57621;146,785309;55,529896;48,100182
1/19/2017;809,039978;102,733498;147,415741;56,066181;47,965565
1/20/2017;808,330017;103,097397;147,907181;56,261192;47,830967
1/23/2017;817,880005;102,580269;146,340286;56,309948;48,252739
1/24/2017;822,440002;103,327225;148,852844;56,651222;48,934753
1/25/2017;836,52002;103,461296;155,166687;57,314266;50,101364
1/26/2017;839,150024;103,480438;156,798447;57,285019;51,088486
1/27/2017;835,77002;104,667885;155,481918;57,09;50,51416
1/30/2017;830,380005;106,238388;153,507095;56,59272;49,930859
1/31/2017;823,47998;105,960678;151,513748;56,144192;49,697533
2/1/2017;832,349976;106,583138;152,023697;55,919922;49,778301
2/2/2017;839,950012;105,922386;150,438248;55,87117;49,63472
2/3/2017;810,200012;105,625519;150,5681;56,3587;49,607792
2/6/2017;807,640015;104,926453;152,032944;56,280701;49,805229
2/7/2017;812,5;104,3806;154,369339;56,368454;49,760357
2/8/2017;819,710022;104,3806;153,181747;56,807228;49,88599
2/9/2017;821,359985;104,849838;153,621246;57,177761;50,532116
2/10/2017;827,460022;104,629601;155,444748;57,226505;50,478268
2/13/2017;836,530029;105,003067;157,127945;57,382515;50,666725
2/14/2017;836,390015;105,654243;157,567429;57,011993;50,585953
2/15/2017;842,700012;105,510605;158,315536;57,977306;50,684666
2/16/2017;844,140015;106,018143;159,72757;57,762798;50,280846
2/17/2017;845,070007;105,395676;161,504318;57,041241;49,715488
2/21/2017;856,440002;105,347809;164,169403;56,573212;50,155209
2/22/2017;855,609985;105,45314;163,982346;56,407448;50,119091
2/23/2017;852,190002;105,079674;165,385056;55,783413;50,498363
2/24/2017;845,23999;105,644669;165,927414;56,339195;50,597702
2/27/2017;848,640015;105,558472;167,788315;56,573212;50,615761
2/28/2017;845,039978;105,424408;168,536362;55,773666;50,525455
3/1/2017;853,080017;106,334152;171,977646;56,261192;51,022125
3/2/2017;848,909973;105,903221;171,117355;56,719471;51,085342
3/3/2017;849,880005;106,525665;170,359848;56,309948;50,317757
3/6/2017;846,609985;105,979836;169,190948;55,880924;50,335819
3/7/2017;846,02002;106,161774;170,21022;55,227623;50,146172
3/8/2017;850,5;106,142624;169,94841;55,032093;50,146172
3/9/2017;853;106,324577;168,85434;54,592152;50,751221
3/10/2017;852,460022;106,219238;167,105667;55,217846;51,6633
3/13/2017;854,590027;106,793808;167,432968;56,224831;51,572994
3/14/2017;852,530029;107,550323;167,133713;56,00975;51,464626
3/15/2017;852,969971;107,128975;167,115021;56,850536;51,807777
3/16/2017;853,419983;106,975754;166,628723;56,909191;51,961292
3/17/2017;852,309998;107,023636;168,414825;56,625675;52,051605
3/20/2017;856,969971;107,933372;167,750885;56,215057;52,159973
3/21/2017;843,200012;107,014061;164,543427;55,423157;52,187054
3/22/2017;848,059998;107,330078;165,497253;56,410587;52,638588
3/23/2017;847,380005;107,483299;165,759094;57,016727;52,846287
3/24/2017;845,609985;107,387535;164,412521;57,006958;52,91853
3/27/2017;846,820007;107,617355;164,674347;56,557228;53,162346
3/28/2017;856;108,258972;165,852615;57,358906;53,514534
3/29/2017;874,320007;107,761009;166,105087;57,300259;53,243626
3/30/2017;876,340027;108,383453;166,432373;57,456673;53,541637
3/31/2017;886,539978;108,584564;165,385056;57,153603;53,198475
4/3/2017;891,51001;108,402603;165,188644;56,332375;53,026897
4/4/2017;906,830017;108,24939;167,105667;55,794659;52,954655
4/5/2017;909,280029;108,21109;165,590759;55,481815;53,099133
4/6/2017;898,280029;108,258972;165,861938;55,82399;53,333923
4/7/2017;894,880005;107,808884;167,245926;55,335167;52,927563
4/10/2017;907,039978;107,665245;166,039627;55,90221;52,77404
4/11/2017;902,359985;108,278122;166,9841;56,195499;52,178028
4/12/2017;896,22998;108,24939;164,627594;56,136841;52,132877
4/13/2017;884,669983;108,402603;164,225449;55,833775;51,898087
4/17/2017;901,98999;108,958031;167,404892;56,048855;52,792107
4/18/2017;903,780029;109,350662;166,310822;55,589355;52,710827
4/19/2017;899,200012;108,910156;166,825119;55,64801;52,990776
4/20/2017;902,059998;109,925232;167,666733;56,303043;53,469391
4/21/2017;898,530029;109,590057;168,676666;56,068401;53,243626
4/24/2017;907,409973;108,881424;170,247665;56,742989;53,839638
4/25/2017;907,619995;110,298706;171,603577;57,231819;54,209888
4/26/2017;909,289978;110,681747;169,920364;59,245773;54,67947
4/27/2017;918,380005;110,930725;171,332382;58,893833;55,067776
4/28/2017;924,98999;110,700897;172,837936;57,652206;55,781185
5/1/2017;948,22998;109,867775;170,556259;57,994389;56,485565
5/2/2017;946,940002;109,523026;171,538116;60,115894;56,621025
5/3/2017;941,030029;106,88958;171,491379;59,636845;56,566833
5/4/2017;937,530029;106,458641;171,192139;59,14801;56,864845
5/5/2017;934,150024;107,243874;173,006271;59,705276;56,91
5/8/2017;949,039978;106,698044;173,950699;59,323997;56,648117
5/9/2017;952,820007;107,320503;174,78302;60,937119;57,090607
5/10/2017;948,950012;105,012642;172,606293;60,878315;56,115318
5/11/2017;947,619995;104,936035;173,322449;60,966526;55,979858
5/12/2017;961,349976;105,041367;172,672287;60,858719;55,257416
5/15/2017;957,969971;104,505096;171,861969;61,368317;55,00457
5/16/2017;966,070007;103,403831;172,154053;61,182125;55,266453
5/17/2017;944,76001;101,804604;168,460297;60,074707;53,957027
5/18/2017;958,48999;102,158928;167,159927;61,191925;55,121964
5/19/2017;959,840027;102,963326;170,325989;62,573734;55,537361
5/22/2017;970,669983;103,068672;173,068039;63,945763;56,034031
5/23/2017;971,539978;102,484512;172,898453;64,180962;55,916649
5/24/2017;980,349976;103,145271;174,556854;64,171158;56,371101
5/25/2017;993,380005;102,723923;176,271805;63,828159;57,052795
5/26/2017;995,780029;103,815605;175,819489;64,033951;57,589054
5/30/2017;996,700012;103,748573;176,092758;64,229958;57,934441
5/31/2017;994,619995;103,365532;176,799454;65,141373;58,23439
6/1/2017;995,950012;103,624084;176,507339;65,307983;59,443249
6/2/2017;1006,72998;102,637733;179,249374;66,062576;59,50687
6/5/2017;1011,340027;102,005707;178,043259;65,65097;59,134212
6/6/2017;1003;101,028938;175,970261;64,445564;58,470707
6/7/2017;1010,070007;101,431129;177,24231;64,827774;58,443439
6/8/2017;1010,27002;99,898949;178,96669;63,720352;58,470707
6/9/2017;978,309998;101,143845;179,060913;63,45575;57,570881
6/12/2017;964,909973;102,50367;179,032654;64,533768;57,798103
6/13/2017;980,789978;102,044022;180,059723;65,121773;58,225292
6/14/2017;976,469971;101,641815;181,275269;64,925774;58,861538
6/15/2017;964,169983;101,488602;184,16806;65,513779;59,534138
6/16/2017;987,710022;101,038521;185,100906;65,082573;59,661385
6/19/2017;995,169983;100,904449;187,588562;65,50396;60,279449
6/20/2017;992,590027;99,535049;186,881836;64,563164;59,715916
6/21/2017;1002,22998;100,358597;187,673325;64,288757;60,379429
6/22/2017;1001,299988;99,803192;187,927734;63,896744;59,706829
6/23/2017;1003,73999;99,937248;190,556702;64,092751;60,397606
6/26/2017;993,97998;101,095978;188,436569;63,926155;59,988598
6/27/2017;976,780029;100,942757;187,409531;62,181736;59,125122
6/28/2017;990,330017;102,331306;188,097366;62,093533;60,079491
6/29/2017;975,929993;101,230034;186,062042;61,005714;59,216015
6/30/2017;968;101,747154;186,335297;60,61372;59,597771
7/3/2017;953,659973;102,905876;187,126785;60,084515;59,306908
7/5/2017;971,400024;101,153419;190,160965;60,280506;60,479412
7/6/2017;965,140015;99,706306;189,850021;59,859108;59,515961
7/7/2017;978,76001;99,677361;190,688614;60,525513;59,83408
7/10/2017;996,469971;99,937851;192,186874;60,956722;59,843174
7/11/2017;994,130005;100,179024;194,363525;61,211521;59,761368
7/12/2017;1006,51001;100,699997;194,523682;60,692112;59,96133
7/13/2017;1000,630005;100,613174;194,32579;60,839119;60,143108
7/14/2017;1001,809998;101,384964;196,474197;61,201725;59,761368
7/17/2017;1010,039978;101,095535;196,935913;61,368317;60,915695
7/18/2017;1024,449951;102,02169;196,219803;61,240925;60,67028
7/19/2017;1026,869995;103,053963;198,707397;60,878315;60,688457
7/20/2017;1028,699951;103,574944;198,142014;60,770515;61,424683
7/21/2017;1025,670044;103,314445;199,894669;61,221317;60,897514
7/24/2017;1038,949951;103,227631;199,932343;60,770515;60,888424
7/25/2017;1039,869995;102,668068;200,196228;61,819134;61,033852
7/26/2017;1052,800049;103,169739;219,974594;61,270325;60,62484
7/27/2017;1046;106,121857;227,088776;61,309525;60,297615
7/28/2017;1020,039978;106,083267;227,343231;61,211521;60,352165
7/31/2017;987,780029;106,054321;228,464523;61,280125;60,697556
8/1/2017;996,190002;106,710358;225,618835;61,515327;61,333797
8/2/2017;995,890015;104,838745;224,214828;60,741123;61,351967
8/3/2017;986,919983;105,272888;224,497559;60,888115;61,279266
8/4/2017;987,580017;103,893303;223,988708;61,72113;61,633739
8/7/2017;992,27002;102,600533;226,363235;62,495342;61,806431
8/8/2017;989,840027;103,208328;225,675369;60,839119;61,833691
8/9/2017;982,01001;99,204643;222,101807;60,143311;61,95187
8/10/2017;956,919983;97,776817;220,746307;59,780708;61,242901
8/11/2017;967,98999;98,394257;222,642105;60,074707;61,333797
8/14/2017;983,299988;97,825058;224,793823;60,515717;61,833691
8/15/2017;982,73999;97,931175;226,708572;60,966526;62,451756
8/16/2017;978,179993;98,596848;225,210907;61,339825;62,597183
8/17/2017;960,570007;97,805763;223,315094;59,748363;61,361057
8/18/2017;958,469971;97,149727;223,485703;59,984142;61,315609
8/21/2017;953,289978;97,603157;223,400406;60,691452;62,260902
8/22/2017;966,900024;99,146751;227,258362;62,204319;62,070019
8/23/2017;958;97,921532;225,68486;62,007843;61,914597
8/24/2017;952,450012;97,940826;226,30098;61,801548;62,335163
8/25/2017;945,26001;98,799454;223,599487;62,361507;62,326015
8/28/2017;946,02002;98,944153;224,822266;62,056965;62,673439
8/29/2017;954,059998;98,953804;227,959808;61,781898;62,271156
8/30/2017;967,590027;99,243233;227,931396;63,186699;62,664295
8/31/2017;980,599976;97,632111;227,173035;63,196533;63,523705
